Provinsi,KotaKab,Populasi
Nanggroe Aceh Darussalam,Kab. Simeulue,93228
Nanggroe Aceh Darussalam,Kab. Aceh Singkil,124101
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,238081
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,216495
Nanggroe Aceh Darussalam,Kab. Aceh Timur,436081
Nanggroe Aceh Darussalam,Kab. Aceh Tengah,212494
Nanggroe Aceh Darussalam,Kab. Aceh Barat,210113
Nanggroe Aceh Darussalam,Kab. Aceh Besar,425216
Nanggroe Aceh Darussalam,Kab. Pidie,444976
Nanggroe Aceh Darussalam,Kab. Bireuen,471635
Nanggroe Aceh Darussalam,Kab. Aceh Utara,619407
Nanggroe Aceh Darussalam,Kab. Aceh Barat Daya,150393
Nanggroe Aceh Darussalam,Kab. Gayo Lues,94100
Nanggroe Aceh Darussalam,Kab. Aceh Tamiang,295011
Nanggroe Aceh Darussalam,Kab. Nagan Raya,167294
Nanggroe Aceh Darussalam,Kab. Aceh Jaya,92892
Nanggroe Aceh Darussalam,Kab. Bener Meriah,148175
Nanggroe Aceh Darussalam,Kab. Pidie Jaya,161215
Nanggroe Aceh Darussalam,Kota Banda Aceh,270321
Nanggroe Aceh Darussalam,Kota Sabang,34874
Nanggroe Aceh Darussalam,Kota Langsa,176811
Nanggroe Aceh Darussalam,Kota Lhokseumawe,207202
Nanggroe Aceh Darussalam,Kota Subulussalam,81417
Sumatera Utara,Kab. Nias,143319
Sumatera Utara,Kab. Mandailing Natal,447287
Sumatera Utara,Kab. Tapanuli Selatan,281931
Sumatera Utara,Kab. Tapanuli Tengah,376667
Sumatera Utara,Kab. Tapanuli Utara,301789
Sumatera Utara,Kab. Toba Samosir,183712
Sumatera Utara,Kab. Labuhan Batu,494178
Sumatera Utara,Kab. Asahan,729795
Sumatera Utara,Kab. Simalungun,867922
Sumatera Utara,Kab. Dairi,284304
Sumatera Utara,Kab. Karo,415878
Sumatera Utara,Kab. Deli Serdang,2195709
Sumatera Utara,Kab. Langkat,1041775
Sumatera Utara,Kab. Nias Selatan,319902
Sumatera Utara,Kab. Humbang Hasundutan,190186
Sumatera Utara,Kab. Pakpak Bharat,48935
Sumatera Utara,Kab. Samosir,126188
Sumatera Utara,Kab. Serdang Bedagai,616396
Sumatera Utara,Kab. Batu Bara,416493
Sumatera Utara,Kab. Padang Lawas Utara,272713
Sumatera Utara,Kab. Padang Lawas,281239
Sumatera Utara,Kab. Labuhanbatu Selatan,338982
Sumatera Utara,Kab. Labuanbatu Utara,363816
Sumatera Utara,Kab. Nias Utara,137967
Sumatera Utara,Kab. Nias Barat,82154
Sumatera Utara,Kota Sibolga,87626
Sumatera Utara,Kota Tanjungbalai,175223
Sumatera Utara,Kota Pematangsiantar,255317
Sumatera Utara,Kota Tebing Tinggi,164402
Sumatera Utara,Kota Medan,2279894
Sumatera Utara,Kota Binjai,276597
Sumatera Utara,Kota Padang Sidempuan,221827
Sumatera Utara,Kota Gunungsitoli,142426
Sumatera Barat,Kab. Kep Mentawai,87623
Sumatera Barat,Kab. Pesisir Selatan,504418
Sumatera Barat,Kab. Solok,391497
Sumatera Barat,Kab. Sijunjung,235045
Sumatera Barat,Kab. Tanah Datar,371704
Sumatera Barat,Kab. Padang Pariaman,430626
Sumatera Barat,Kab. Agam,529138
Sumatera Barat,Kab. Lima Puluh Kota,383525
Sumatera Barat,Kab. Pasaman,299851
Sumatera Barat,Kab. Solok Selatan,182027
Sumatera Barat,Kab. Dharmasraya,228591
Sumatera Barat,Kab. Pasaman Barat,431672
Sumatera Barat,Kota Padang,909040
Sumatera Barat,Kota Solok,73438
Sumatera Barat,Kota Sawahlunto,65138
Sumatera Barat,Kota Padang Panjang,56311
Sumatera Barat,Kota Bukittinggi,121028
Sumatera Barat,Kota Payakumbuh,139576
Sumatera Barat,Kota Pariaman,94224
Riau,Kab. Kuantan Singingi,334943
Riau,Kab. Indragiri Hulu,444548
Riau,Kab. Indragiri Hilir,654909
Riau,Kab. Pelalawan,390046
Riau,Kab. Siak,457940
Riau,Kab. Kampar,841332
Riau,Kab. Rokan Hulu,561385
Riau,Kab. Bengkalis,565569
Riau,Kab. Rokan Hilir,637161
Riau,Kab. Meranti,206116
Riau,Kota Pekanbaru,983356
Riau,Kota Dumai,316782
Jambi,Kab. Kerinci,239606
Jambi,Kab. Merangin,394174
Jambi,Kab. Sarolangun,307585
Jambi,Kab. Batang Hari,275504
Jambi,Kab. Muaro Jambi,454524
Jambi,Kab. Tanjab Tim,221619
Jambi,Kab. Tanjab Bar,339286
Jambi,Kab. Tebo,360193
Jambi,Kab. Bungo,382311
Jambi,Kota Jambi,611353
Jambi,Kota Sungai Penuh,91739
Sumatera Selatan,Kab. Ogan Komering Ulu,373155
Sumatera Selatan,Kab. Ogan Komering Hilir,842570
Sumatera Selatan,Kab. Muara Enim,646315
Sumatera Selatan,Kab. Lahat,412957
Sumatera Selatan,Kab. Musi Rawas,410006
Sumatera Selatan,Kab. Musi Banyuasin,657966
Sumatera Selatan,Kab. Banyuasin,867710
Sumatera Selatan,Kab. O.K.U Selatan,367407
Sumatera Selatan,Kab. O.K.U Timur,683293
Sumatera Selatan,Kab. Ogan Ilir,434293
Sumatera Selatan,Kab. Empat Lawang,253317
Sumatera Selatan,Kab. Penungkalabab L Ilir,192525
Sumatera Selatan,Kab. Musi Rawas Utara,194808
Sumatera Selatan,Kota Palembang,1696244
Sumatera Selatan,Kota Prabumulih,191407
Sumatera Selatan,Kota Pagar Alam,140373
Sumatera Selatan,Kota Lubuk Linggau,236419
