,KotaKab,skor
0,Kab. Halmahera Timur,430
1,Kab. Solok,610
2,Kab. Aceh Barat Daya,450
3,Kab. Aceh Besar,990
4,Kab. Aceh Jaya,410
5,Kab. Aceh Selatan,600
6,Kab. Aceh Singkil,530
7,Kab. Aceh Tamiang,850
8,Kab. Aceh Tengah,710
9,Kab. Aceh Tenggara,810
10,Kab. Aceh Timur,1210
11,Kab. Aceh Utara,810
12,Kab. Agam,890
13,Kab. Alor,850
14,Kab. Asahan,2090
15,Kab. Asmat,420
16,Kab. Badung,2660
17,Kab. Balangan,500
18,Kab. Bandung,3670
19,Kab. Bandung Barat,2700
20,Kab. Banggai,610
21,Kab. Banggai Kepulauan,430
22,Kab. Banggai Laut,350
23,Kab. Bangka,1830
24,Kab. Bangka Barat,650
25,Kab. Bangka Selatan,450
26,Kab. Bangka Tengah,670
27,Kab. Bangkalan,1310
28,Kab. Bangli,1120
29,Kab. Banjar,1680
30,Kab. Banjarnegara,1330
31,Kab. Bantaeng,560
32,Kab. Bantul,4120
33,Kab. Banyuasin,1100
34,Kab. Banyumas,6520
35,Kab. Banyuwangi,3970
36,Kab. Barito Kuala,560
37,Kab. Barito Selatan,440
38,Kab. Barito Timur,430
39,Kab. Barito Utara,520
40,Kab. Barru,470
41,Kab. Batang,1390
42,Kab. Batang Hari,740
43,Kab. Batu Bara,810
44,Kab. Bekasi,9330
45,Kab. Belitung,690
46,Kab. Belitung Timur,390
47,Kab. Belu,1110
48,Kab. Bener,420
49,Kab. Bengkalis,1670
50,Kab. Bengkayang,790
51,Kab. Bengkulu Tengah,510
52,Kab. Bengkulu Utara,840
53,Kab. Berau,730
54,Kab. Biak Numfor,850
55,Kab. Bima,830
56,Kab. Bintan (Kepri),770
57,Kab. Bireun,1850
58,Kab. Blitar,2170
59,Kab. Blora,2190
60,Kab. Boalemo,410
61,Kab. Bogor,9040
62,Kab. Bojonegoro,2980
63,Kab. Boloangmongondow,490
64,Kab. Bombana,540
65,Kab. Bondowoso,1290
66,Kab. Bone,1580
